timestamp,pod_name,status,ready,reason,restarts,age
2025-06-15 23:12:37,browser-sandbox-browser-5ec4cf6b-20250615174237,Init:0/1,0/1,,0,0s
2025-06-15 23:12:42,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,5s
2025-06-15 23:12:47,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,10s
2025-06-15 23:12:52,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,15s
2025-06-15 23:12:58,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,21s
2025-06-15 23:13:03,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,26s
2025-06-15 23:13:08,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,31s
2025-06-15 23:13:08,browser-sandbox-browser-f28363a8-20250615174306,PodInitializing,0/1,,0,2s
2025-06-15 23:13:13,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,36s
2025-06-15 23:13:13,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,7s
2025-06-15 23:13:18,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,41s
2025-06-15 23:13:18,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,12s
2025-06-15 23:13:23,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,46s
2025-06-15 23:13:23,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,17s
2025-06-15 23:13:28,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,51s
2025-06-15 23:13:28,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,22s
2025-06-15 23:13:33,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,56s
2025-06-15 23:13:33,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,27s
2025-06-15 23:13:39,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,3s
2025-06-15 23:13:39,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,62s
2025-06-15 23:13:39,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,33s
2025-06-15 23:13:44,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,8s
2025-06-15 23:13:44,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,67s
2025-06-15 23:13:44,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,38s
2025-06-15 23:13:49,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,13s
2025-06-15 23:13:49,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,72s
2025-06-15 23:13:49,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,43s
2025-06-15 23:13:54,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,18s
2025-06-15 23:13:54,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,77s
2025-06-15 23:13:54,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,48s
2025-06-15 23:13:59,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,23s
2025-06-15 23:13:59,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,82s
2025-06-15 23:13:59,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,53s
2025-06-15 23:14:04,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,28s
2025-06-15 23:14:04,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,87s
2025-06-15 23:14:04,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,58s
2025-06-15 23:14:09,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,33s
2025-06-15 23:14:09,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,92s
2025-06-15 23:14:09,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,3s
2025-06-15 23:14:09,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,63s
2025-06-15 23:14:15,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,38s
2025-06-15 23:14:15,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,97s
2025-06-15 23:14:15,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,8s
2025-06-15 23:14:15,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,68s
2025-06-15 23:14:20,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,44s
2025-06-15 23:14:20,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,103s
2025-06-15 23:14:20,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,14s
2025-06-15 23:14:20,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,74s
2025-06-15 23:14:25,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,49s
2025-06-15 23:14:25,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,108s
2025-06-15 23:14:25,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,19s
2025-06-15 23:14:25,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,79s
2025-06-15 23:14:30,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,54s
